"Topic","Source","Bias","Headline","Byline","Date","URL"
"economy","New York Times (News)","Lean Left","Biden Team Preparing Up to $3 Trillion in New Spending for the Economy","President Biden’s economic advisers are preparing to recommend spending as much as $3 trillion on a sweeping set of efforts aimed at boosting the economy, reducing carbon emissions and narrowing economic inequality, beginning with a giant infrastructure plan that may be financed in part through tax increases on corporations and the rich.","Mar 22 2021","https://www.nytimes.com/2021/03/22/business/biden-infrastructure-spending.html"
"economy","BBC News","Center","US economy to grow faster than forecast, says Federal Reserve","The US central bank expects much stronger growth this year than previously forecast, as vaccination rates rise and government relief funds start flowing into the economy.","Mar 18 2021","https://www.bbc.com/news/business-56434910"
"economy","Wall Street Journal (News)","Center","OPINION: Democrats Say the Economy Stinks","The end of a two-term Presidency is typically a time for taking credit, celebrating achievements and promising to continue successful policies. So what happened to the Obama Democrats?","Oct 14 2015","http://www.wsj.com/articles/democrats-say-the-economy-stinks-1444863161"
"economy","Fox News (Online News)","Lean Right","Good Bush economy attacked, bad Obama economy ignored by media","Twenty-three million people unemployed or underemployed, a $16-trillion debt and repeated trillion-dollar deficits.","Nov 01 2012","http://www.foxnews.com/opinion/2012/10/31/good-bush-economy-attacked-bad-obama-economy-ignored-by-media/"
"economy","Wall Street Journal (News)","Center","U.S. Companies Warn of Slowing Economy","Quarterly profits and revenue at big American companies are poised to decline for the first time since the recession, as some industrial firms warn of a pullback in spending.","Oct 26 2015","http://www.wsj.com/articles/u-s-companies-warn-of-slowing-economy-1445818298"
"economy","CNN (Online News)","Left","US economy grows incredible 5%","Evidence is mounting that the U.S. economy is kicking into high gear.\nGross domestic product soared 5% on an annual basis in the third quarter, the government said on Tuesday.\nTo put that in perspective, it's the strongest quarter of growth since 2003.\n""Other than the first quarter's weather-induced contraction, there's no doubt the economy has been great this year,"" said Dan Greenhaus, chief","Dec 23 2014","http://money.cnn.com/2014/12/23/news/economy/us-gdp-economy-5-percent-growth/index.html?iid=Lead&hpt=po_c2"
"economy","Washington Post","Lean Left","OPINION: Why the world economy sputters","It’s become a dreary ritual: Every six months, the International Monetary Fund (IMF) forecasts the global economy — and cuts its previous forecast. Despite an army of economists, all of its forecasts since 2011 have been too optimistic. The latest, released last week, shaved 0.4 percentage points off the growth estimate made in April. The world economy is now expected to expand only 3.3","Oct 13 2014","http://www.washingtonpost.com/opinions/robert-samuelson-the-three-reasons-the-world-economy-sputters/2014/10/12/aa7a74b4-50a8-11e4-8c24-487e92bc997b_story.html?hpid=z2"
"economy","Wall Street Journal (News)","Center","ECB Unveils Stimulus to Boost Economy","The European Central Bank said Thursday it plans to purchase over €1 trillion ($1.157 trillion) in public and private sector bonds by the fall of 2016, a landmark decision aimed at combating stagnation and ultralow inflation in a region that has emerged as a top risk to the global economic recovery.","Jan 22 2015","http://www.wsj.com/articles/ecb-announces-stimulus-plan-1421931011?mod=WSJ_hpp_LEFTTopStories"
"economy","CNN (Online News)","Left","Who cares about the economy? You","John Sutter asked CNNs readers and viewers to pick the five social-justice topics he'll cover for the rest of the year.","Jun 13 2013","http://www.cnn.com/2013/06/13/opinion/sutter-ctl-vote-update/index.html?hpt=op_t1"
"economy","Wall Street Journal (News)","Center","Economy Adds 155,000 Jobs","U.S. job growth slowed slightly in December, showing that the economy muddled along as Congress fought over tax increases and spending cuts.","Jan 04 2013","http://online.wsj.com/article/SB10001424127887324374004578221291910741394.html?mod=WSJ_hpp_LEFTTopStories"
"economy","New York Times (News)","Lean Left","Is the Economy Saving Obama's Approval Ratings?","Political coverage over the last week has focused on a series of stories that reflect negatively on the executive branch, but President Obama's approval ratings have held steady.","May 22 2013","http://fivethirtyeight.blogs.nytimes.com/2013/05/21/is-the-economy-saving-obamas-approval-ratings/"
"economy","Wall Street Journal (News)","Center","Economy Adds 88,000 Jobs","The U.S. economy added 88000 jobs last month fewer than the 200000 economists were predicting. The unemployment rate fell to 7.6 as more people dropped out of the work force.","Apr 05 2013","http://online.wsj.com/article/SB10001424127887324600704578404271558802706.html?mod=WSJ_Home_largeHeadline"
"economy","Wall Street Journal (News)","Center","Economy Adds 146,000 Jobs","U.S. job growth picked up in November and the unemployment rate fell as the labor market shrugged off superstorm Sandy, the latest sign of a steady economic recovery.","Dec 07 2012","http://online.wsj.com/article/SB10001424127887324640104578164981319314860.html?mod=WSJ_hps_LEFTTopStories"
"economy","Wall Street Journal (News)","Center","Beige Book: U.S. Economy Expanding","The U.S. economy expanded at a moderate pace in June and early July but the jobs market showed only ""tepid"" gains, the Federal Reserve said in a report released Wednesday.","Jul 18 2012","http://online.wsj.com/article/SB10000872396390444464304577535060055191718.html?mod=WSJ_WSJ_US_News_5"
"economy","CNN (Online News)","Left","Fed forecast: Weaker economy ahead","Federal Reserve Chairman Ben Bernanke certainly left the option on the table Wednesday, making perfectly clear that he stands ready to do more should the U.S. economy take a turn for the worse.","Jun 20 2012","http://money.cnn.com/2012/06/20/news/economy/bernanke-press-conference/"
"economy","NPR (Online News)","Center","Will Economy Push Washington To Make A Deal?","The Obama administration is searching for a ""sweet spot"" in economic policy: measures that could increase job growth right now without worsening the federal deficit. That task gained new urgency this month when the Labor Department reported a sharp slowdown in job growth in May.","Jun 08 2012","http://www.npr.org/2012/06/08/154530510/will-economy-push-washington-to-make-a-deal"
"economy","Wall Street Journal (News)","Center","As Woes Accumulate, Economy Looms Larger for Trump’s Campaign","As grim news and bad indicators pile up elsewhere for President Trump’s re-election effort, his promise to lead an economic rebound is growing in importance.","Jul 18 2020","https://www.wsj.com/articles/as-woes-accumulate-economy-looms-larger-for-trumps-campaign-11595044861"
"economy","Wall Street Journal (News)","Center","U.S. Economy Shrank in 2020 Despite Fourth-Quarter Growth","The U.S. economy grew steadily in the fourth quarter of 2020 and is forecast to continue recovering this year from the effects of the pandemic.","Jan 28 2021","https://www.wsj.com/articles/us-gdp-economic-growth-fourth-quarter-2020-11611802382?mod=hp_lead_pos1"
"economy","Breitbart News","Right","Authors: Antifa Rioters Are the Tech Economy’s College Discards","The black-clothed Antifa activists who are leading the anti-police riots are mostly the discarded, angry college-grade workforce of an increasingly high-tech, globalized economy, say a variety of experts and millennials.","Jun 08 2020","https://www.breitbart.com/politics/2020/06/06/authors-antifa-rioters-are-the-tech-economys-college-discards/?"
"economy","NPR (Online News)","Center","Senators Clash Over How Soon To Reopen The Economy","Members of the Senate Banking Committee squabbled Tuesday over how quickly the U.S. economy can rebound from the coronavirus shutdown and whether the federal government is doing enough to support struggling families and businesses in the meantime.","May 21 2020","https://www.npr.org/2020/05/19/858769887/senators-clash-over-how-soon-to-reopen-the-economy"
"economy","Wall Street Journal (News)","Center","Steven Mnuchin Is Trying to Rescue the Economy From the Coronavirus","Treasury secretary’s ability to keep the president’s trust while working with those outside the administration is expected to be crucial.","Mar 31 2020","https://www.wsj.com/articles/steven-mnuchin-is-trying-to-rescue-the-economy-from-the-coronavirus-11585654202"
"economy","Washington Post","Lean Left","It was the worst week for the economy in decades. The pain is just beginning.","‘It’s making me go into a depression,’ said LaTonua Bowens, a laid-off cook. ‘I’m worried if I’m going to still have a job.’","Mar 27 2020","https://www.washingtonpost.com/business/2020/03/26/it-was-worst-week-economy-decades-pain-is-just-beginning/"
"economy","ABC News (Online)","Lean Left","How businesses are adapting to a coronavirus pandemic economy","In just a few weeks, the novel coronavirus outbreak has changed the way thousands of companies operate in an unprecedented manner. As business owners and employees navigate the new normal, here are some of the ways they have adapted to stay operating amid a global pandemic.","Mar 30 2020","https://abcnews.go.com/Business/businesses-adapting-coronavirus-pandemic-economy/story?id=69748107&cid=clicksource_4380645_2_takeover_2_headlines_hed"
"economy","New York Times (Opinion)","Left","The Year We Were Asked to Pick: Your Economy or Your Life","The end of the year has been awkward for Gov. Andrew Cuomo. As he promotes his new, self-congratulatory book about navigating New York through its first coronavirus wave of in the spring, he is also battling a new surge of cases.","Dec 29 2020","https://www.nytimes.com/2020/12/29/opinion/new-york-covid-economy.html?action=click&module=Opinion&pgtype=Homepage"
"economy","New York Times (News)","Lean Left","Red and Blue Economies Are Heading in Sharply Different Directions","On the surface, there seems to be parity between Democratic-leaning and Republican-leaning metro areas, but take a closer look.","Nov 13 2019","https://www.nytimes.com/2019/11/13/upshot/red-blue-diverging-economies.html?action=click&module=Top%20Stories&pgtype=Homepage"
"economy","Wall Street Journal (News)","Center","U.S. Economy Added 136,000 Jobs in September","U.S. employers added jobs at a steady pace last month, and the unemployment rate hit a 50-year low, signaling the labor market continues to provide opportunities for Americans in search of work despite a broader economic slowdown.","Oct 04 2019","https://www.wsj.com/articles/u-s-september-nonfarm-payrolls-grew-steadily-11570192288?mod=hp_lead_pos1"
"economy","CNN (Online News)","Left","US economy adds 224,000 jobs in June","The US economy added 224,000 jobs in June, a strong comeback for the labor market after a disappointing May.","Jul 05 2019","https://www.cnn.com/2019/07/05/economy/june-jobs-report/index.html"
"economy","New York Times (News)","Lean Left","For the Chao Family, Deep Ties to the World’s 2 Largest Economies","The family of Elaine Chao, the transportation secretary and wife of Mitch McConnell, the Senate majority leader, has high-level political connections not only in the United States but also in China. That gives the family unusual status in the world’s two largest economies.","Jun 03 2019","https://www.nytimes.com/2019/06/02/us/politics/transportation-secretary-elaine-chao.html?action=click&module=Top%20Stories&pgtype=Homepage"
"economy","New York Times (News)","Lean Left","U.S. Economy Grew at 3.2% Rate in First Quarter","The report indicates that the 10-year recovery retains momentum, despite recent fears that the year was off to a slow start.","Apr 26 2019","https://www.nytimes.com/2019/04/26/business/economy/gdp-economy.html?action=click&module=Top%20Stories&pgtype=Homepage"
"economy","New York Times (News)","Lean Left","Trump Owns the Economy Now, for Better or Worse","President Trump is getting exactly what he wants on the economy, just as it starts to slow down.","Mar 28 2019","https://www.nytimes.com/2019/03/28/us/politics/us-economy-trump.html?action=click&module=Top%20Stories&pgtype=Homepage"
"economy","CNN (Online News)","Left","4 ways Trump's tax cuts changed the American economy","Monday is the first Tax Day under the new rules of the Tax Cuts and Jobs Act, but Americans have been adapting to the law since it passed in late 2017.","Apr 15 2019","https://www.cnn.com/2019/04/15/economy/trump-tax-cuts-impact-economy/index.html"
"economy","Wall Street Journal (News)","Center","U.S. Economy Grew 2.6% in the Fourth Quarter","Consumer spending pulled back from the third quarter.","Feb 28 2019","https://www.wsj.com/articles/u-s-economy-grew-2-6-in-the-fourth-quarter-11551360960?mod=hp_lead_pos4"
"economy","Fox News (Online News)","Lean Right","Retailers brace as COVID-19 bears down on consumers and economy","LaTonya Story is every retailer’s worst fear.","Nov 21 2020","https://www.foxbusiness.com/economy/retailers-brace-as-virus-bears-down-on-consumers-and-economy"
"economy","New York Times (News)","Lean Left","Turbulent Stock Market Is Flashing a Warning About the Economy","Unemployment is near lows not seen in half a century. The American economy is set for its best year since 2005. Large corporations are producing giant profits. Even wages are starting to rise.","Nov 21 2018","https://www.nytimes.com/2018/11/20/business/stock-market-drop-economy.html?action=click&module=Top%20Stories&pgtype=Homepage"
